Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_functional_groups,Pollinator_functional_group
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2,1,4,Bee
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2,2,2,Bee
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2,3,2,Syrphids
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2,4,2,Birds
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2,5,2,Coleoptera
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2,6,2,Non-syrphids-diptera
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2,7,2,Lizards
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2,8,2,Non-bee-Hymenoptera
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2,9,4,Non-bee-Hymenoptera
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2,10,4,Syrphids
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2,11,4,Lepidoptera
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2,12,4,Coleoptera
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2,13,4,Non-syrphids-diptera
11_6_kaiser-bunbury_2017_seychelles_salazie,1,2,14,4,Lizards
11_6_kaiser-bunbury_2017_seychelles_salazie,2,3,1,2,Bee
11_6_kaiser-bunbury_2017_seychelles_salazie,2,3,1,4,Bee
11_6_kaiser-bunbury_2017_seychelles_salazie,2,3,2,2,Coleoptera
11_6_kaiser-bunbury_2017_seychelles_salazie,2,3,2,4,Coleoptera
11_6_kaiser-bunbury_2017_seychelles_salazie,2,3,3,2,Lizards
11_6_kaiser-bunbury_2017_seychelles_salazie,2,3,3,4,Lizards
11_6_kaiser-bunbury_2017_seychelles_salazie,2,3,4,2,Non-bee-Hymenoptera
11_6_kaiser-bunbury_2017_seychelles_salazie,2,3,4,4,Non-bee-Hymenoptera
11_6_kaiser-bunbury_2017_seychelles_salazie,2,3,5,2,Non-syrphids-diptera
11_6_kaiser-bunbury_2017_seychelles_salazie,2,3,5,4,Non-syrphids-diptera
11_6_kaiser-bunbury_2017_seychelles_salazie,2,3,6,2,Syrphids
11_6_kaiser-bunbury_2017_seychelles_salazie,2,3,6,4,Syrphids
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,1,2,Bee
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,1,2,Syrphids
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,2,2,Bee
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,2,2,Non-bee-Hymenoptera
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,3,2,Bee
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,3,2,Birds
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,4,2,Bee
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,4,2,Coleoptera
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,5,2,Bee
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,5,2,Non-syrphids-diptera
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,6,2,Bee
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,6,2,Lizards
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,7,2,Lizards
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,7,2,Syrphids
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,8,2,Non-bee-Hymenoptera
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,8,2,Syrphids
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,9,2,Birds
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,9,2,Syrphids
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,10,2,Coleoptera
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,10,2,Syrphids
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,11,2,Non-syrphids-diptera
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,11,2,Syrphids
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,12,2,Birds
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,12,2,Non-syrphids-diptera
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,13,2,Birds
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,13,2,Lizards
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,14,2,Birds
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,14,2,Non-bee-Hymenoptera
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,15,2,Birds
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,15,2,Coleoptera
11_6_kaiser-bunbury_2017_seychelles_salazie,3,3,16,2,Coleoptera
